OBJECTID,Year,Value,sex
3451473,2017,0,1
3451474,2017,2,0
3451474,2017,0,1
3451475,2017,0,0
3451475,2017,0,1
3451477,2017,2,0
3451477,2017,0,1
3451478,2017,1,0
3451478,2017,2,1
3451479,2017,1,0
3451479,2017,0,1
3451480,2017,2,0
3451480,2017,3,1
3451482,2017,1,0
3451482,2017,2,1
3451484,2017,2,0
3451484,2017,0,1
3451485,2017,1,0
3451485,2017,0,1
3451486,2017,1,0
3451486,2017,0,1
3451487,2017,2,0
3451487,2017,0,1
3451488,2017,3,0
3451488,2017,1,1
3451489,2017,1,0
3451489,2017,1,1
3451490,2017,0,0
3451490,2017,1,1
3451491,2017,1,0
3451491,2017,1,1
3451492,2017,2,0
3451492,2017,0,1
3451493,2017,2,0
3451493,2017,0,1
3451494,2017,0,0
3451494,2017,5,1
3451495,2017,0,0
3451495,2017,1,1
3451496,2017,1,0
3451496,2017,1,1
3451497,2017,0,0
3451497,2017,2,1
3451498,2017,2,0
3451498,2017,0,1
3451499,2017,0,0
3451499,2017,1,1
3451500,2017,3,0
3451500,2017,0,1
3451501,2017,2,0
3451501,2017,0,1
3451502,2017,2,0
3451502,2017,1,1
3451503,2017,2,0
3451503,2017,0,1
3451504,2017,1,0
3451504,2017,0,1
3451505,2017,1,0
3451505,2017,2,1
3451506,2017,1,0
3451506,2017,1,1
3451507,2017,1,0
3451507,2017,1,1
3451508,2017,1,0
3451508,2017,2,1
3451509,2017,1,0
3451509,2017,2,1
3451510,2017,2,0
3451510,2017,1,1
3451511,2017,1,0
3451511,2017,1,1
3451512,2017,1,0
3451512,2017,1,1
3451514,2017,2,0
3451514,2017,0,1
3451515,2017,1,0
3451515,2017,0,1
3451516,2017,4,0
3451516,2017,4,1
3451517,2017,1,0
3451517,2017,8,1
3451519,2017,0,0
3451519,2017,1,1
3451520,2017,2,0
3451520,2017,1,1
